Key type,Value type,Number of keys,Algorithm,Trial,Number of bits,Construction time (s),Serial evaluation time (s),Parallel evaluation time (s)
m,h,200000,PTHash;5;0.8;dictionary-dictionary;0,1,2442304,0.0435428,0.00372326,0.00130612
m,h,200000,PTHash;5;0.8;dictionary-dictionary;0,2,2442176,0.0433579,0.00371953,0.00130871
m,h,200000,PTHash;5;0.8;dictionary-dictionary;0,3,2442112,0.0429086,0.00371413,0.00131012
m,h,200000,PTHash;5;0.8;dictionary-dictionary;0,4,2442048,0.0430209,0.00371565,0.00130166
m,h,200000,PTHash;8;0.98;dictionary-dictionary;1,0,2371016,0.0449333,0.00411824,0.00139636
m,h,200000,PTHash;8;0.98;dictionary-dictionary;1,1,2371080,0.0457217,0.00410923,0.00139074
m,h,200000,PTHash;8;0.98;dictionary-dictionary;1,2,2370952,0.0444915,0.004117,0.00138717
m,h,200000,PTHash;8;0.98;dictionary-dictionary;1,3,2370952,0.0445368,0.00411493,0.00141141
m,h,200000,PTHash;8;0.98;dictionary-dictionary;1,4,2371016,0.0445704,0.00415414,0.00134767
m,m,200000,AceHash;4;0.8;1;1;1;0,0,16401944,0.00937318,0.00138742,0.000760276
m,m,200000,AceHash;4;0.8;1;1;1;0,1,16401944,0.00970338,0.00137666,0.000766506
m,m,200000,AceHash;4;0.8;1;1;1;0,2,16401944,0.00971604,0.00137835,0.000764405
m,m,200000,AceHash;4;0.8;1;1;1;0,3,16401944,0.00970354,0.00137584,0.000770778
m,m,200000,AceHash;4;0.8;1;1;1;0,4,16401944,0.00970094,0.00137893,0.000754359
m,m,200000,AceHash;2.5;1;1;1;1;0,0,13493320,0.0112965,0.00140461,0.000742478
m,m,200000,AceHash;2.5;1;1;1;1;0,1,13493320,0.0110985,0.00140009,0.000747507
m,m,200000,AceHash;2.5;1;1;1;1;0,2,13493320,0.0110966,0.00139765,0.00074821
m,m,200000,AceHash;2.5;1;1;1;1;0,3,13493320,0.0110908,0.00140038,0.000754087
m,m,200000,AceHash;2.5;1;1;1;1;0,4,13493320,0.0111008,0.00141045,0.000752463
m,m,200000,std::unordered_map,0,0,0.0146568,0.00494572,0.00122031
m,m,200000,std::unordered_map,1,0,0.0130668,0.00484316,0.00125354
m,m,200000,std::unordered_map,2,0,0.0129983,0.00481486,0.0013944
m,m,200000,std::unordered_map,3,0,0.0130096,0.00487055,0.00121547
m,m,200000,std::unordered_map,4,0,0.0130816,0.00481512,0.00121548
m,m,200000,absl::flat_hash_map,0,0,0.00421333,0.00182583,0.000803125
m,m,200000,absl::flat_hash_map,1,0,0.00341859,0.00177374,0.000763492
m,m,200000,absl::flat_hash_map,2,0,0.0034931,0.00179384,0.00079449
m,m,200000,absl::flat_hash_map,3,0,0.00353296,0.00177884,0.000789791
m,m,200000,absl::flat_hash_map,4,0,0.00342586,0.00176737,0.000781313
m,m,200000,VectorMap;0.6,0,42666752,0.0117114,0.00341458,0.00100881
m,m,200000,VectorMap;0.6,1,42666752,0.0110548,0.00337466,0.000950825
m,m,200000,VectorMap;0.6,2,42666752,0.0113851,0.00347159,0.000984455
m,m,200000,VectorMap;0.6,3,42666752,0.0113135,0.00343796,0.000933176
m,m,200000,VectorMap;0.6,4,42666752,0.0113093,0.00337977,0.000975456
m,m,200000,VectorMap;0.7,0,36571520,0.0111458,0.00390921,0.00104462
m,m,200000,VectorMap;0.7,1,36571520,0.0109922,0.00393213,0.00105848
m,m,200000,VectorMap;0.7,2,36571520,0.0109951,0.00390502,0.00107983
m,m,200000,VectorMap;0.7,3,36571520,0.0110019,0.00393536,0.00109753
m,m,200000,VectorMap;0.7,4,36571520,0.0115108,0.00407977,0.0009743
m,m,200000,VectorMap;0.8,0,32000000,0.011469,0.00453502,0.00114021
