Trial,Alpha,Algorithm,Time (s)
0,0.51,Conventional,0.122991
0,0.51,AceHash,0.0896117
1,0.51,Conventional,0.122765
1,0.51,AceHash,0.089458
2,0.51,Conventional,0.122758
2,0.51,AceHash,0.089487
3,0.51,Conventional,0.122983
3,0.51,AceHash,0.0895839
4,0.51,Conventional,0.122605
4,0.51,AceHash,0.0894609
0,0.52,Conventional,0.122107
0,0.52,AceHash,0.0889977
1,0.52,Conventional,0.121543
1,0.52,AceHash,0.0892578
2,0.52,Conventional,0.121492
2,0.52,AceHash,0.0891422
3,0.52,Conventional,0.121453
3,0.52,AceHash,0.0889593
4,0.52,Conventional,0.121333
4,0.52,AceHash,0.089176
0,0.53,Conventional,0.120363
0,0.53,AceHash,0.0887261
1,0.53,Conventional,0.119914
1,0.53,AceHash,0.088732
2,0.53,Conventional,0.120375
2,0.53,AceHash,0.0886517
3,0.53,Conventional,0.120184
3,0.53,AceHash,0.0887647
4,0.53,Conventional,0.120163
4,0.53,AceHash,0.0890733
0,0.54,Conventional,0.118436
0,0.54,AceHash,0.0882994
1,0.54,Conventional,0.118652
1,0.54,AceHash,0.0883727
2,0.54,Conventional,0.118852
2,0.54,AceHash,0.0883124
3,0.54,Conventional,0.119181
3,0.54,AceHash,0.0882562
4,0.54,Conventional,0.119003
4,0.54,AceHash,0.08833
0,0.55,Conventional,0.117459
0,0.55,AceHash,0.0881022
1,0.55,Conventional,0.117885
1,0.55,AceHash,0.0880053
2,0.55,Conventional,0.117422
2,0.55,AceHash,0.0882413
3,0.55,Conventional,0.11784
3,0.55,AceHash,0.0879977
4,0.55,Conventional,0.117406
4,0.55,AceHash,0.0881332
0,0.56,Conventional,0.1159
0,0.56,AceHash,0.0879352
1,0.56,Conventional,0.116062
1,0.56,AceHash,0.0876725
2,0.56,Conventional,0.116302
2,0.56,AceHash,0.0877436
3,0.56,Conventional,0.116346
3,0.56,AceHash,0.0876937
4,0.56,Conventional,0.116257
4,0.56,AceHash,0.0877761
0,0.57,Conventional,0.115082
0,0.57,AceHash,0.087491
1,0.57,Conventional,0.114895
1,0.57,AceHash,0.0877721
2,0.57,Conventional,0.114825
2,0.57,AceHash,0.0878904
3,0.57,Conventional,0.114966
3,0.57,AceHash,0.087483
4,0.57,Conventional,0.115069
4,0.57,AceHash,0.087594
0,0.58,Conventional,0.114254
0,0.58,AceHash,0.0871218
1,0.58,Conventional,0.11424
1,0.58,AceHash,0.0871845
2,0.58,Conventional,0.114269
2,0.58,AceHash,0.0871367
3,0.58,Conventional,0.114166
3,0.58,AceHash,0.0871175
4,0.58,Conventional,0.114737
4,0.58,AceHash,0.087497
0,0.59,Conventional,0.113297
0,0.59,AceHash,0.0870378
1,0.59,Conventional,0.113371
1,0.59,AceHash,0.087408
2,0.59,Conventional,0.113132
2,0.59,AceHash,0.0870839
