Number of keys,Algorithm,Trial,Number of bits,Construction time (s),Serial evaluation time (s),Parallel evaluation time (s)
10000000,AceHash;1.5;0.85;0;0;0;0,3,53333336,3.78236,0.106865,0.0114697
10000000,AceHash;1.5;0.85;0;0;0;0,4,53333336,3.78548,0.107091,0.0114469
10000000,AceHash;1.5;0.85;1;0;0;0,0,53333336,1.20845,0.106472,0.0111845
10000000,AceHash;1.5;0.85;1;0;0;0,1,53333336,1.2068,0.106499,0.0111267
10000000,AceHash;1.5;0.85;1;0;0;0,2,53333336,1.20794,0.106523,0.01117
10000000,AceHash;1.5;0.85;1;0;0;0,3,53333336,1.20715,0.106493,0.0111704
10000000,AceHash;1.5;0.85;1;0;0;0,4,53333336,1.20944,0.106558,0.0111368
10000000,AceHash;1.5;0.85;1;1;0;0,0,53333376,0.73575,0.121428,0.0126127
10000000,AceHash;1.5;0.85;1;1;0;0,1,53333376,0.732142,0.120042,0.0125976
10000000,AceHash;1.5;0.85;1;1;0;0,2,53333376,0.732691,0.120389,0.0125782
10000000,AceHash;1.5;0.85;1;1;0;0,3,53333376,0.733173,0.120045,0.0128668
10000000,AceHash;1.5;0.85;1;1;0;0,4,53333376,0.732585,0.120253,0.0125657
10000000,AceHash;1.5;0.85;1;1;1;0,0,53333376,0.732258,0.0833694,0.00865276
10000000,AceHash;1.5;0.85;1;1;1;0,1,53333376,0.732679,0.0834956,0.00865368
10000000,AceHash;1.5;0.85;1;1;1;0,2,53333376,0.732837,0.0831605,0.00864307
10000000,AceHash;1.5;0.85;1;1;1;0,3,53333376,0.732741,0.0833573,0.00863163
10000000,AceHash;1.5;0.85;1;1;1;0,4,53333376,0.732526,0.0829104,0.00865907
10000000,AceHash;1.5;0.85;1;1;1;1,0,53333376,0.191933,0.0831558,0.00869255
10000000,AceHash;1.5;0.85;1;1;1;1,1,53333336,0.191419,0.0832761,0.00865747
10000000,AceHash;1.5;0.85;1;1;1;1,2,53333336,0.192209,0.0831849,0.00864692
10000000,AceHash;1.5;0.85;1;1;1;1,3,53333336,0.192009,0.0839121,0.00864841
10000000,AceHash;1.5;0.85;1;1;1;1,4,53333376,0.192259,0.0832423,0.00865701
10000000,AceHash;1.5;0.9;0;0;0;0,0,53333336,3.85781,0.106853,0.0114417
10000000,AceHash;1.5;0.9;0;0;0;0,1,53333336,3.85619,0.107168,0.0114607
10000000,AceHash;1.5;0.9;0;0;0;0,2,53333336,3.85644,0.106838,0.0114465
10000000,AceHash;1.5;0.9;0;0;0;0,3,53333336,3.85597,0.106881,0.0114743
10000000,AceHash;1.5;0.9;0;0;0;0,4,53333336,3.85574,0.106837,0.0114471
10000000,AceHash;1.5;0.9;1;0;0;0,0,53333336,1.28645,0.106599,0.0111904
