Experiment,Number of keys,Algorithm,Parameters,Trial,Number of bits,Construction time (s),Serial evaluation time (s),Parallel evaluation time (s)
1,10000000,AceHash;1;1;1;0,3;1,4,32523264,0.874625,0.913518,0.09178
1,10000000,AceHash;1;1;1;0,3.5;0.7,0,22857144,0.633388,0.842623,0.0865599
1,10000000,AceHash;1;1;1;0,3.5;0.7,1,22857144,0.634701,0.84238,0.0863194
1,10000000,AceHash;1;1;1;0,3.5;0.7,2,22857144,0.635123,0.841871,0.0865485
1,10000000,AceHash;1;1;1;0,3.5;0.7,3,22857144,0.637365,0.843416,0.0865821
1,10000000,AceHash;1;1;1;0,3.5;0.7,4,22857144,0.635016,0.843501,0.0864444
1,10000000,AceHash;1;1;1;0,3.5;0.75,0,22857360,0.647125,0.843518,0.0865672
1,10000000,AceHash;1;1;1;0,3.5;0.75,1,22857360,0.649596,0.843466,0.0865642
1,10000000,AceHash;1;1;1;0,3.5;0.75,2,22857360,0.648263,0.842853,0.0864752
1,10000000,AceHash;1;1;1;0,3.5;0.75,3,22857360,0.6483,0.850943,0.0863642
1,10000000,AceHash;1;1;1;0,3.5;0.75,4,22857360,0.64978,0.847684,0.086441
1,10000000,AceHash;1;1;1;0,3.5;0.8,0,22863192,0.669632,0.851966,0.0865892
1,10000000,AceHash;1;1;1;0,3.5;0.8,1,22863192,0.67064,0.843702,0.0864717
1,10000000,AceHash;1;1;1;0,3.5;0.8,2,22863192,0.670207,0.842789,0.086607
1,10000000,AceHash;1;1;1;0,3.5;0.8,3,22863192,0.670435,0.841538,0.0866113
1,10000000,AceHash;1;1;1;0,3.5;0.8,4,22863192,0.671588,0.845039,0.0863947
1,10000000,AceHash;1;1;1;0,3.5;0.85,0,22951072,0.702914,0.848788,0.0864529
1,10000000,AceHash;1;1;1;0,3.5;0.85,1,22951072,0.704963,0.843438,0.0865939
1,10000000,AceHash;1;1;1;0,3.5;0.85,2,22951072,0.705325,0.844521,0.0866193
1,10000000,AceHash;1;1;1;0,3.5;0.85,3,22951072,0.704668,0.84488,0.0867476
1,10000000,AceHash;1;1;1;0,3.5;0.85,4,22951072,0.706759,0.843619,0.0866334
1,10000000,AceHash;1;1;1;0,3.5;0.9,0,23710352,0.755519,0.851844,0.0873272
1,10000000,AceHash;1;1;1;0,3.5;0.9,1,23710352,0.757978,0.852792,0.087064
1,10000000,AceHash;1;1;1;0,3.5;0.9,2,23710352,0.757441,0.854565,0.0870204
1,10000000,AceHash;1;1;1;0,3.5;0.9,3,23710352,0.758115,0.851702,0.0872861
1,10000000,AceHash;1;1;1;0,3.5;0.9,4,23710352,0.758088,0.852744,0.0870736
1,10000000,AceHash;1;1;1;0,3.5;0.95,0,27148568,0.845717,0.89461,0.089407
1,10000000,AceHash;1;1;1;0,3.5;0.95,1,27148568,0.846579,0.889664,0.0894808
1,10000000,AceHash;1;1;1;0,3.5;0.95,2,27148568,0.851645,0.890349,0.0893797
1,10000000,AceHash;1;1;1;0,3.5;0.95,3,27148568,0.846271,0.890128,0.0894202
1,10000000,AceHash;1;1;1;0,3.5;0.95,4,27148568,0.846197,0.89058,0.0892981
1,10000000,AceHash;1;1;1;0,3.5;1,0,35185712,0.971529,0.966161,0.0945713
1,10000000,AceHash;1;1;1;0,3.5;1,1,35185712,0.972789,0.967995,0.0948906
1,10000000,AceHash;1;1;1;0,3.5;1,2,35185712,0.972526,0.966799,0.0947396
1,10000000,AceHash;1;1;1;0,3.5;1,3,35185712,0.973057,0.967539,0.095258
1,10000000,AceHash;1;1;1;0,3.5;1,4,35185712,0.975851,0.967179,0.0948825
1,10000000,AceHash;1;1;1;0,4;0.7,0,20000000,0.631825,0.839919,0.0861462
1,10000000,AceHash;1;1;1;0,4;0.7,1,20000000,0.633504,0.839186,0.0864046
1,10000000,AceHash;1;1;1;0,4;0.7,2,20000000,0.633071,0.839366,0.0860888
1,10000000,AceHash;1;1;1;0,4;0.7,3,20000000,0.633232,0.846315,0.0861532
1,10000000,AceHash;1;1;1;0,4;0.7,4,20000000,0.633986,0.837658,0.0863268
1,10000000,AceHash;1;1;1;0,4;0.75,0,20004504,0.655636,0.836167,0.0860555
1,10000000,AceHash;1;1;1;0,4;0.75,1,20004504,0.656286,0.838089,0.0862104
1,10000000,AceHash;1;1;1;0,4;0.75,2,20004504,0.656613,0.840602,0.0862119
1,10000000,AceHash;1;1;1;0,4;0.75,3,20004504,0.656852,0.840802,0.0860961
1,10000000,AceHash;1;1;1;0,4;0.75,4,20004504,0.65638,0.840395,0.0861472
