Key type,Value type,Key cardinality,Algorithm,Parameters,Trial,Number of bits,Build time (s),Serial aggregate time (s)
m,m,2000000,AceHash;1;1;1;0,2.5;1,2,134951448,0.158965,1.60763
m,m,2000000,AceHash;1;1;1;0,2.5;1,3,134951448,0.15909,1.60768
m,m,2000000,AceHash;1;1;1;0,2.5;1,4,134951448,0.158885,1.60779
m,m,2000000,std::unordered_map,,0,0,0.205637,22.0109
m,m,2000000,std::unordered_map,,1,0,0.192663,22.0397
m,m,2000000,std::unordered_map,,2,0,0.193265,22.0381
m,m,2000000,std::unordered_map,,3,0,0.189549,22.005
m,m,2000000,std::unordered_map,,4,0,0.192896,22.008
m,m,2000000,absl::flat_hash_map,,0,0,0.174489,9.50375
m,m,2000000,absl::flat_hash_map,,1,0,0.173635,9.59316
m,m,2000000,absl::flat_hash_map,,2,0,0.17261,9.51836
m,m,2000000,absl::flat_hash_map,,3,0,0.173704,9.59788
m,m,2000000,absl::flat_hash_map,,4,0,0.173497,9.54367
m,m,2000000,BBHash;0,2.000000,0,135423296,0.297149,7.83745
m,m,2000000,BBHash;0,2.000000,1,135423296,0.295873,7.84619
m,m,2000000,BBHash;0,2.000000,2,135423296,0.296774,7.8445
m,m,2000000,BBHash;0,2.000000,3,135423296,0.298855,7.86564
m,m,2000000,BBHash;0,2.000000,4,135423296,0.298235,7.85079
m,m,2000000,PTHash;dictionary-dictionary;1,8;0.98,0,137601728,0.550929,3.30905
m,m,2000000,PTHash;dictionary-dictionary;1,8;0.98,1,137601472,0.55292,3.30671
m,m,2000000,PTHash;dictionary-dictionary;1,8;0.98,2,137601600,0.55059,3.30831
m,m,2000000,PTHash;dictionary-dictionary;1,8;0.98,3,137601600,0.553099,3.30743
m,m,2000000,PTHash;dictionary-dictionary;1,8;0.98,4,137601472,0.55295,3.31458
m,m,2000000,DuckDB,,0,0,0,6.55139
m,m,2000000,DuckDB,,1,0,0,6.52772
m,m,2000000,DuckDB,,2,0,0,6.55039
m,m,2000000,DuckDB,,3,0,0,6.54611
m,m,2000000,DuckDB,,4,0,0,6.53099
m,h,2000000,AceHash;1;1;1;0,2.5;1,0,22947712,0.136343,1.04794
m,h,2000000,AceHash;1;1;1;0,2.5;1,1,22947712,0.135793,1.04772
m,h,2000000,AceHash;1;1;1;0,2.5;1,2,22947712,0.13613,1.04886
m,h,2000000,AceHash;1;1;1;0,2.5;1,3,22947712,0.135846,1.04837
m,h,2000000,AceHash;1;1;1;0,2.5;1,4,22947712,0.135855,1.04692
m,h,2000000,std::unordered_map,,0,0,0.193083,21.7313
m,h,2000000,std::unordered_map,,1,0,0.191149,21.6957
m,h,2000000,std::unordered_map,,2,0,0.190933,21.7264
m,h,2000000,std::unordered_map,,3,0,0.191465,21.7114
m,h,2000000,std::unordered_map,,4,0,0.191514,21.7147
m,h,2000000,absl::flat_hash_map,,0,0,0.173293,9.92192
m,h,2000000,absl::flat_hash_map,,1,0,0.173262,9.97939
m,h,2000000,absl::flat_hash_map,,2,0,0.172673,9.94781
m,h,2000000,absl::flat_hash_map,,3,0,0.172893,9.94983
m,h,2000000,absl::flat_hash_map,,4,0,0.172657,9.95036
m,h,2000000,BBHash;0,2.000000,0,23423296,0.294879,7.16982
m,h,2000000,BBHash;0,2.000000,1,23423296,0.292668,7.17413
m,h,2000000,BBHash;0,2.000000,2,23423296,0.291465,7.1681
m,h,2000000,BBHash;0,2.000000,3,23423296,0.291416,7.16931
m,h,2000000,BBHash;0,2.000000,4,23423296,0.291563,7.17704
m,h,2000000,PTHash;dictionary-dictionary;1,8;0.98,0,23315840,0.542882,2.6318
m,h,2000000,PTHash;dictionary-dictionary;1,8;0.98,1,23316288,0.545894,2.63173
m,h,2000000,PTHash;dictionary-dictionary;1,8;0.98,2,23315904,0.541334,2.63398
m,h,2000000,PTHash;dictionary-dictionary;1,8;0.98,3,23315968,0.540551,2.63524
m,h,2000000,PTHash;dictionary-dictionary;1,8;0.98,4,23315968,0.544317,2.63292
m,h,2000000,DuckDB,,0,0,0,6.331
m,h,2000000,DuckDB,,1,0,0,6.31106
m,h,2000000,DuckDB,,2,0,0,6.32615
m,h,2000000,DuckDB,,3,0,0,6.34147
m,h,2000000,DuckDB,,4,0,0,6.34496
m,m,5000000,AceHash;1;1;1;0,2.5;1,0,337373512,0.555365,2.16771
m,m,5000000,AceHash;1;1;1;0,2.5;1,1,337373512,0.555589,2.16811
m,m,5000000,AceHash;1;1;1;0,2.5;1,2,337373512,0.555586,2.16841
m,m,5000000,AceHash;1;1;1;0,2.5;1,3,337373512,0.555,2.16859
m,m,5000000,AceHash;1;1;1;0,2.5;1,4,337373512,0.555405,2.17282
m,m,5000000,std::unordered_map,,0,0,0.626419,26.2929
m,m,5000000,std::unordered_map,,1,0,0.558538,26.2929
m,m,5000000,std::unordered_map,,2,0,0.558927,26.2707
m,m,5000000,std::unordered_map,,3,0,0.558789,26.2777
m,m,5000000,std::unordered_map,,4,0,0.55813,26.297
m,m,5000000,absl::flat_hash_map,,0,0,0.508476,14.6373
m,m,5000000,absl::flat_hash_map,,1,0,0.504987,14.607
m,m,5000000,absl::flat_hash_map,,2,0,0.508998,14.6313
m,m,5000000,absl::flat_hash_map,,3,0,0.503199,14.6357
m,m,5000000,absl::flat_hash_map,,4,0,0.507139,14.6907
m,m,5000000,BBHash;0,2.000000,0,338552064,0.860323,9.7542
m,m,5000000,BBHash;0,2.000000,1,338552064,0.860238,9.75307
m,m,5000000,BBHash;0,2.000000,2,338552064,0.864438,9.75306
m,m,5000000,BBHash;0,2.000000,3,338552064,0.85857,9.74637
m,m,5000000,BBHash;0,2.000000,4,338552064,0.862879,9.74381
m,m,5000000,PTHash;dictionary-dictionary;1,8;0.98,0,344263376,1.5979,4.10122
m,m,5000000,PTHash;dictionary-dictionary;1,8;0.98,1,344263248,1.67734,4.10214
m,m,5000000,PTHash;dictionary-dictionary;1,8;0.98,2,344263248,1.67471,4.09941
m,m,5000000,PTHash;dictionary-dictionary;1,8;0.98,3,344263440,1.68071,4.10653
m,m,5000000,PTHash;dictionary-dictionary;1,8;0.98,4,344264080,1.68537,4.10342
m,m,5000000,DuckDB,,0,0,0,7.87736
m,m,5000000,DuckDB,,1,0,0,7.86864
m,m,5000000,DuckDB,,2,0,0,7.84586
m,m,5000000,DuckDB,,3,0,0,7.87203
m,m,5000000,DuckDB,,4,0,0,7.87513
m,h,5000000,AceHash;1;1;1;0,2.5;1,0,57376792,0.450565,1.2456
m,h,5000000,AceHash;1;1;1;0,2.5;1,1,57376792,0.45095,1.24493
m,h,5000000,AceHash;1;1;1;0,2.5;1,2,57376792,0.455067,1.24599
m,h,5000000,AceHash;1;1;1;0,2.5;1,3,57376792,0.452894,1.24563
m,h,5000000,AceHash;1;1;1;0,2.5;1,4,57376792,0.45101,1.24536
m,h,5000000,std::unordered_map,,0,0,0.634656,26.0949
m,h,5000000,std::unordered_map,,1,0,0.615374,26.0748
m,h,5000000,std::unordered_map,,2,0,0.551673,26.0982
m,h,5000000,std::unordered_map,,3,0,0.555046,26.0795
m,h,5000000,std::unordered_map,,4,0,0.552194,26.0689
m,h,5000000,absl::flat_hash_map,,0,0,0.50289,14.7336
m,h,5000000,absl::flat_hash_map,,1,0,0.509336,14.7621
m,h,5000000,absl::flat_hash_map,,2,0,0.502046,14.7268
m,h,5000000,absl::flat_hash_map,,3,0,0.502086,14.7478
m,h,5000000,absl::flat_hash_map,,4,0,0.505084,14.7231
m,h,5000000,BBHash;0,2.000000,0,58552064,0.84525,8.72182
m,h,5000000,BBHash;0,2.000000,1,58552064,0.840964,8.70279
m,h,5000000,BBHash;0,2.000000,2,58552064,0.848403,8.71019
m,h,5000000,BBHash;0,2.000000,3,58552064,0.842071,8.70681
m,h,5000000,BBHash;0,2.000000,4,58552064,0.84442,8.70191
m,h,5000000,PTHash;dictionary-dictionary;1,8;0.98,0,58549840,1.49534,3.04292
m,h,5000000,PTHash;dictionary-dictionary;1,8;0.98,1,58549200,1.57832,3.06872
m,h,5000000,PTHash;dictionary-dictionary;1,8;0.98,2,58549200,1.57353,3.05567
m,h,5000000,PTHash;dictionary-dictionary;1,8;0.98,3,58548944,1.57872,3.03239
